"device","method","filename","bytes","size","seconds","speed","blocksize","count","oflag"
/mnt/sc1, read-cache, /mnt/sc1/test3.img, 134217728, 134 MB, 0.184846, 726 MB/s, 4096k, 32, dsync
/mnt/sc1, read-nocache, /mnt/sc1/test3.img, 134217728, 134 MB, 2.89609, 46.3 MB/s, 4096k, 32, dsync
/mnt/sc1, write, /mnt/sc1/test4.img, 536870912, 537 MB, 12.6422, 42.5 MB/s, 32768k, 16, dsync
/mnt/sc1, read-cache, /mnt/sc1/test4.img, 536870912, 537 MB, 0.716686, 749 MB/s, 32768k, 16, dsync
/mnt/sc1, read-nocache, /mnt/sc1/test4.img, 536870912, 537 MB, 11.4749, 46.8 MB/s, 32768k, 16, dsync
/mnt/st1, write, /mnt/st1/test0.img, 2097152, 2.1 MB, 4.9372, 425 kB/s, 8k, 256, dsync
/mnt/st1, read-cache, /mnt/st1/test0.img, 2097152, 2.1 MB, 0.00325618, 644 MB/s, 8k, 256, dsync
/mnt/st1, read-nocache, /mnt/st1/test0.img, 2097152, 2.1 MB, 0.0107284, 195 MB/s, 8k, 256, dsync
/mnt/st1, write, /mnt/st1/test1.img, 8388608, 8.4 MB, 1.96853, 4.3 MB/s, 64k, 128, dsync
/mnt/st1, read-cache, /mnt/st1/test1.img, 8388608, 8.4 MB, 0.0118107, 710 MB/s, 64k, 128, dsync
/mnt/st1, read-nocache, /mnt/st1/test1.img, 8388608, 8.4 MB, 0.0423164, 198 MB/s, 64k, 128, dsync
/mnt/st1, write, /mnt/st1/test2.img, 33554432, 34 MB, 0.983633, 34.1 MB/s, 512k, 64, dsync
/mnt/st1, read-cache, /mnt/st1/test2.img, 33554432, 34 MB, 0.0467474, 718 MB/s, 512k, 64, dsync
/mnt/st1, read-nocache, /mnt/st1/test2.img, 33554432, 34 MB, 0.176878, 190 MB/s, 512k, 64, dsync
/mnt/st1, write, /mnt/st1/test3.img, 134217728, 134 MB, 1.23019, 109 MB/s, 4096k, 32, dsync
/mnt/st1, read-cache, /mnt/st1/test3.img, 134217728, 134 MB, 0.182611, 735 MB/s, 4096k, 32, dsync
/mnt/st1, read-nocache, /mnt/st1/test3.img, 134217728, 134 MB, 0.768952, 175 MB/s, 4096k, 32, dsync
/mnt/st1, write, /mnt/st1/test4.img, 536870912, 537 MB, 4.07607, 132 MB/s, 32768k, 16, dsync
/mnt/st1, read-cache, /mnt/st1/test4.img, 536870912, 537 MB, 0.732847, 733 MB/s, 32768k, 16, dsync
/mnt/st1, read-nocache, /mnt/st1/test4.img, 536870912, 537 MB, 3.1464, 171 MB/s, 32768k, 16, dsync
/mnt/standard, write, /mnt/standard/test0.img, 2097152, 2.1 MB, 0.389708, 5.4 MB/s, 8k, 256, dsync
/mnt/standard, read-cache, /mnt/standard/test0.img, 2097152, 2.1 MB, 0.00302081, 694 MB/s, 8k, 256, dsync
/mnt/standard, read-nocache, /mnt/standard/test0.img, 2097152, 2.1 MB, 0.244735, 8.6 MB/s, 8k, 256, dsync
/mnt/standard, write, /mnt/standard/test1.img, 8388608, 8.4 MB, 0.233266, 36.0 MB/s, 64k, 128, dsync
/mnt/standard, read-cache, /mnt/standard/test1.img, 8388608, 8.4 MB, 0.0117076, 717 MB/s, 64k, 128, dsync
/mnt/standard, read-nocache, /mnt/standard/test1.img, 8388608, 8.4 MB, 0.203153, 41.3 MB/s, 64k, 128, dsync
/mnt/standard, write, /mnt/standard/test2.img, 33554432, 34 MB, 0.251014, 134 MB/s, 512k, 64, dsync
/mnt/standard, read-cache, /mnt/standard/test2.img, 33554432, 34 MB, 0.0469263, 715 MB/s, 512k, 64, dsync
/mnt/standard, read-nocache, /mnt/standard/test2.img, 33554432, 34 MB, 1.48931, 22.5 MB/s, 512k, 64, dsync
/mnt/standard, write, /mnt/standard/test3.img, 134217728, 134 MB, 0.425226, 316 MB/s, 4096k, 32, dsync
/mnt/standard, read-cache, /mnt/standard/test3.img, 134217728, 134 MB, 0.18631, 720 MB/s, 4096k, 32, dsync
/mnt/standard, read-nocache, /mnt/standard/test3.img, 134217728, 134 MB, 5.06692, 26.5 MB/s, 4096k, 32, dsync
/mnt/standard, write, /mnt/standard/test4.img, 536870912, 537 MB, 1.36787, 392 MB/s, 32768k, 16, dsync
/mnt/standard, read-cache, /mnt/standard/test4.img, 536870912, 537 MB, 0.709565, 757 MB/s, 32768k, 16, dsync
/mnt/standard, read-nocache, /mnt/standard/test4.img, 536870912, 537 MB, 20.7452, 25.9 MB/s, 32768k, 16, dsync
/mnt/efs-gp-burst, write, /mnt/efs-gp-burst/test0.img, 2097152, 2.1 MB, 2.74777, 763 kB/s, 8k, 256, dsync
/mnt/efs-gp-burst, read-cache, /mnt/efs-gp-burst/test0.img, 2097152, 2.1 MB, 0.00368674, 569 MB/s, 8k, 256, dsync
/mnt/efs-gp-burst, read-nocache, /mnt/efs-gp-burst/test0.img, 2097152, 2.1 MB, 0.0264095, 79.4 MB/s, 8k, 256, dsync
/mnt/efs-gp-burst, write, /mnt/efs-gp-burst/test1.img, 8388608, 8.4 MB, 1.24998, 6.7 MB/s, 64k, 128, dsync
/mnt/efs-gp-burst, read-cache, /mnt/efs-gp-burst/test1.img, 8388608, 8.4 MB, 0.0129371, 648 MB/s, 64k, 128, dsync
/mnt/efs-gp-burst, read-nocache, /mnt/efs-gp-burst/test1.img, 8388608, 8.4 MB, 0.0619724, 135 MB/s, 64k, 128, dsync
/mnt/efs-gp-burst, write, /mnt/efs-gp-burst/test2.img, 33554432, 34 MB, 1.58716, 21.1 MB/s, 512k, 64, dsync
/mnt/efs-gp-burst, read-cache, /mnt/efs-gp-burst/test2.img, 33554432, 34 MB, 0.0495426, 677 MB/s, 512k, 64, dsync
/mnt/efs-gp-burst, read-nocache, /mnt/efs-gp-burst/test2.img, 33554432, 34 MB, 0.126698, 265 MB/s, 512k, 64, dsync
/mnt/efs-gp-burst, write, /mnt/efs-gp-burst/test3.img, 134217728, 134 MB, 4.60122, 29.2 MB/s, 4096k, 32, dsync
/mnt/efs-gp-burst, read-cache, /mnt/efs-gp-burst/test3.img, 134217728, 134 MB, 0.192072, 699 MB/s, 4096k, 32, dsync
/mnt/efs-gp-burst, read-nocache, /mnt/efs-gp-burst/test3.img, 134217728, 134 MB, 0.798177, 168 MB/s, 4096k, 32, dsync
/mnt/efs-gp-burst, write, /mnt/efs-gp-burst/test4.img, 536870912, 537 MB, 6.02936, 89.0 MB/s, 32768k, 16, dsync
/mnt/efs-gp-burst, read-cache, /mnt/efs-gp-burst/test4.img, 536870912, 537 MB, 0.759469, 707 MB/s, 32768k, 16, dsync
/mnt/efs-gp-burst, read-nocache, /mnt/efs-gp-burst/test4.img, 536870912, 537 MB, 4.81848, 111 MB/s, 32768k, 16, dsync
/mnt/efs-maxio-burst, write, /mnt/efs-maxio-burst/test0.img, 2097152, 2.1 MB, 3.22002, 651 kB/s, 8k, 256, dsync
/mnt/efs-maxio-burst, read-cache, /mnt/efs-maxio-burst/test0.img, 2097152, 2.1 MB, 0.00377249, 556 MB/s, 8k, 256, dsync
/mnt/efs-maxio-burst, read-nocache, /mnt/efs-maxio-burst/test0.img, 2097152, 2.1 MB, 0.0286532, 73.2 MB/s, 8k, 256, dsync
/mnt/efs-maxio-burst, write, /mnt/efs-maxio-burst/test1.img, 8388608, 8.4 MB, 1.56104, 5.4 MB/s, 64k, 128, dsync
/mnt/efs-maxio-burst, read-cache, /mnt/efs-maxio-burst/test1.img, 8388608, 8.4 MB, 0.0131673, 637 MB/s, 64k, 128, dsync
/mnt/efs-maxio-burst, read-nocache, /mnt/efs-maxio-burst/test1.img, 8388608, 8.4 MB, 0.0706563, 119 MB/s, 64k, 128, dsync
/mnt/efs-maxio-burst, write, /mnt/efs-maxio-burst/test2.img, 33554432, 34 MB, 1.63099, 20.6 MB/s, 512k, 64, dsync
/mnt/efs-maxio-burst, read-cache, /mnt/efs-maxio-burst/test2.img, 33554432, 34 MB, 0.0492538, 681 MB/s, 512k, 64, dsync
/mnt/efs-maxio-burst, read-nocache, /mnt/efs-maxio-burst/test2.img, 33554432, 34 MB, 0.139663, 240 MB/s, 512k, 64, dsync
/mnt/efs-maxio-burst, write, /mnt/efs-maxio-burst/test3.img, 134217728, 134 MB, 4.72429, 28.4 MB/s, 4096k, 32, dsync
/mnt/efs-maxio-burst, read-cache, /mnt/efs-maxio-burst/test3.img, 134217728, 134 MB, 0.191326, 702 MB/s, 4096k, 32, dsync
/mnt/efs-maxio-burst, read-nocache, /mnt/efs-maxio-burst/test3.img, 134217728, 134 MB, 0.860017, 156 MB/s, 4096k, 32, dsync
/mnt/efs-maxio-burst, write, /mnt/efs-maxio-burst/test4.img, 536870912, 537 MB, 6.49845, 82.6 MB/s, 32768k, 16, dsync
/mnt/efs-maxio-burst, read-cache, /mnt/efs-maxio-burst/test4.img, 536870912, 537 MB, 0.752584, 713 MB/s, 32768k, 16, dsync
/mnt/efs-maxio-burst, read-nocache, /mnt/efs-maxio-burst/test4.img, 536870912, 537 MB, 4.69303, 114 MB/s, 32768k, 16, dsync
/mnt/ramdisk, write, /mnt/ramdisk/test0.img, 2097152, 2.1 MB, 0.00138818, 1.5 GB/s, 8k, 256, dsync
/mnt/ramdisk, read-cache, /mnt/ramdisk/test0.img, 2097152, 2.1 MB, 0.00334028, 628 MB/s, 8k, 256, dsync
/mnt/ramdisk, read-nocache, /mnt/ramdisk/test0.img, 2097152, 2.1 MB, 0.00516366, 406 MB/s, 8k, 256, dsync
/mnt/ramdisk, write, /mnt/ramdisk/test1.img, 8388608, 8.4 MB, 0.0028888, 2.9 GB/s, 64k, 128, dsync
/mnt/ramdisk, read-cache, /mnt/ramdisk/test1.img, 8388608, 8.4 MB, 0.0118104, 710 MB/s, 64k, 128, dsync
/mnt/ramdisk, read-nocache, /mnt/ramdisk/test1.img, 8388608, 8.4 MB, 0.0130387, 643 MB/s, 64k, 128, dsync
/mnt/ramdisk, write, /mnt/ramdisk/test2.img, 33554432, 34 MB, 0.0126696, 2.6 GB/s, 512k, 64, dsync
/mnt/ramdisk, read-cache, /mnt/ramdisk/test2.img, 33554432, 34 MB, 0.0488847, 686 MB/s, 512k, 64, dsync
/mnt/ramdisk, read-nocache, /mnt/ramdisk/test2.img, 33554432, 34 MB, 0.0494727, 678 MB/s, 512k, 64, dsync
/mnt/ramdisk, write, /mnt/ramdisk/test3.img, 134217728, 134 MB, 0.0501187, 2.7 GB/s, 4096k, 32, dsync
/mnt/ramdisk, read-cache, /mnt/ramdisk/test3.img, 134217728, 134 MB, 0.18529, 724 MB/s, 4096k, 32, dsync
/mnt/ramdisk, read-nocache, /mnt/ramdisk/test3.img, 134217728, 134 MB, 0.186747, 719 MB/s, 4096k, 32, dsync
/mnt/ramdisk, write, /mnt/ramdisk/test4.img, 536870912, 537 MB, 0.215148, 2.5 GB/s, 32768k, 16, dsync
/mnt/ramdisk, read-cache, /mnt/ramdisk/test4.img, 536870912, 537 MB, 0.732224, 733 MB/s, 32768k, 16, dsync
/mnt/ramdisk, read-nocache, /mnt/ramdisk/test4.img, 536870912, 537 MB, 0.722545, 743 MB/s, 32768k, 16, dsync
